,X1,sample_id,lake_id,lake_name,sa_ha,lake_type,ecoregion_3,trip_num,county,year,date_sampled,sample_location,lat,long,max_depth_m,secchi_m,lt_trans_3ft_per,lt_level_1per_ft,water_col_oxic_per,ph_epi,ph_hypo,cond_epi,cond_hypo,alk_epi,alk_hypo,no3_epi,no3_hypo,nh3_epi,nh3_hypo,tkn_epi,tkn_hypo,srp_epi,srp_hypo,tp_epi,tp_hypo,chla_ug_L,micro_ug_L,pktn_cells_mL,pktn_num_L,bg_dom_nu_per,bg_dom_cell_per,bg_num_L,bg_cell_mL,green_num_L,green_cell_mL,diatoms_nu_L,diatoms_cells_mL,other_algae_nu_L,other_algae_cells_mL,rotifer_num_L,rotifers_cell_mL,zoo_num_L,zoo_cells_mL,alk_avg,cond_avg,ph_avg,no3_avg,nh3_avg,tkn_avg,orgn_avg,srp_avg,tp_avg,tsi_sd,tsi_chla,tsi_tp_avg,tsi_tp_epi,tsi_comb,tn_avg,tn_epi,tn_hypo,not_sampled,tsi_int
155,247,2613,1117,Hartz,11.33,natural lake,56,12,Starke,2017,8-Aug-17,Deep Hole,41.17885,-86.49848,10,2.7,28,14.75,33,7.1,6.5,212.4,353.6,85.5,130,0.008,0.008,0.014,2.778,NA,NA,0.002,0.307,0.018,0.383,6.962,NA,8378,1119290,17.4,83,194383,6945,630435,1139,141848,142,152355,152,181,0,88,0,107.75,283,6.8,0.008,1.396,NA,0,0.1545,0.2005,46,50,81,46,59,NA,1.386,3.928,FALSE,Mesotrophic
177,22,2349,1117,Hartz,11.33,natural lake,56,3,Starke,2015,14-Jul-15,Deep Hole,41.17739,-86.49512,10.1,1.3,4.17,6.56,29.7,7.4,7.1,202,262,86,107,0.013,0.013,0.018,1.616,0.968,3.144,0.01,0.183,0.029,0.245,10.02,NA,61471,1579896,92.1,100,1454417,61220,91947,101,8359,125,25076,25,62,0,35,0,96.5,232,7.25,0.013,0.817,2.056,1.239,0.0965,0.137,56,53,75,53,61,NA,NA,NA,FALSE,Eutrophic
235,111,2462,758,Gilbert,14.16,natural lake,54,3,Marshall,2016,12-Jul-16,Deep Hole,41.33537,-86.44562,8.84,0.75,13.24,9.02,NA,8.6,7,338,538,120,246,0.0086,0.0086,0.015,5.7255,NA,NA,0.004,0.118,0.041,0.2,24.057,NA,239898,39752620,93.4,99,37125584,237095,2241545,2417,113828,115,271437,271,196,0,30,0,183,438,7.8,0.0086,2.87025,NA,0,0.061,0.1205,64,62,73,58,66,NA,1.205,7.472,FALSE,Eutrophic
200,280,2665,267,Kings,7.69,natural lake,56,4,Fulton,2018,9-Jul-18,Deep Hole,41.128859,-86.423053,9.5,1.2,244,6.23,NA,7.2,7.1,328.2,362.6,149,163,0.008,0.01,0.014,2.349,NA,NA,0.01,0.87,0.03,0.031,13.361,NA,0,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0,47,0,156,345.4,7.15,0.009,1.1815,NA,0,0.44,0.0305,57,56,53,53,55,NA,0.507,0.785,FALSE,Eutrophic
280,78,2415,267,King,7.69,natural lake,56,11,Fulton,2015,10-Aug-15,deep hole,41.12896,-86.4229,9.75,0.4,1.2,3.608,25,8.3,7.6,340,490,157,218,0.013,0.054,0.018,3.548,2.235,6.401,0.01,0.6395,0.109,NA,53.145,NA,12444,1552526,15.1,80,234045,9896,521584,1003,6687,7,789062,1537,912,1,236,0,187.5,415,7.95,0.0335,1.783,4.318,2.535,0.32475,0.109,73,70,72,72,72,NA,NA,NA,FALSE,Hypereutrophic
268,158,2510,784,Lemon,667.76,impoundment,71,11,Monroe,2016,10-Aug-16,Riddle,39.26626,-86.41631,7.6,0.5,4.432,5.2,NA,7.5,6.7,186,245,76.5,114,0.0086,0.0086,0.015,1.395,NA,NA,0.002,0.22,0.039,0.246,47.505,NA,162402,17092011,92.9,99,15870406,160121,410135,1470,704361,704,106991,107,69,0,49,0,95.25,215.5,7.1,0.0086,0.705,NA,0,0.111,0.1425,70,68,76,57,71,NA,0.891,2.004,FALSE,Hypereutrophic
62,112,2463,763,Maxinkuckee,750.31,natural lake,56,3,Marshall,2016,12-Jul-16,Deep Hole,41.20695,-86.40331,26.97,1.15,34.67,30,NA,8.3,7.1,366,405,143,161.5,0.0086,0.0086,0.015,0.3,NA,NA,0.004,0.004,0.012,0.017,2.87,NA,15496,995765,55.2,94,549818,14543,376450,878,14859,15,54487,60,113,0,38,0,152.25,385.5,7.7,0.0086,0.1575,NA,0,0.004,0.0145,58,41,43,40,47,NA,0.55,0.98,FALSE,Mesotrophic
148,245,2611,767,Mill Pond,52.2,natural lake,56,12,Marshall,2017,7-Aug-17,Deep Hole,41.30001,-86.3998,5.5,1.6,19.8,11.5,54.5,7.3,NA,378.8,NA,143,NA,0.008,NA,0.014,NA,NA,NA,0.002,NA,0.026,NA,6.68,NA,43294,1761698,33.3,95,586654,41119,770530,1639,280193,281,122584,254,654,0,1083,1,143,378.8,7.3,0.008,0.014,NA,0,0.002,0.026,53,49,51,51,51,NA,0.736,NA,FALSE,Mesotrophic
12,67,2402,52,Boones Pond,3.24,Surface Mine Lake,55,10,Boone,2015,5-Aug-15,Deep hole,39.98509,-86.39558,8.38,3.1,33.8,23.616,100,8.4,7.3,525,597,102,146,0.063,0.015,0.046,0.045,0.467,0.645,0.01,0.01,0.021,0.0425,1.33,NA,382450,2095775,94,100,1970427,382325,89160,89,NA,NA,35664,36,321,0,203,0,124,561,7.85,0.039,0.0455,0.556,0.5105,0.01,0.03175,44,33,54,48,44,NA,NA,NA,FALSE,Oligotrophic
194,281,2666,770,Thomas,6.48,natural lake,56,4,Marshall,2018,9-Jul-18,Deep Hole,41.2920652,-86.3939618,13.7,1.3,540,9.512,NA,7.4,7.3,69.7,183.2,39,45,0.008,0.039,0.068,0.466,NA,NA,0.012,0.022,0.023,0.352,12.371,NA,0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,28,0,42,126.45,7.35,0.0235,0.267,NA,0,0.017,0.1875,56,55,80,49,64,NA,0.719,1.899,FALSE,Eutrophic
245,284,2669,1100,Potato Cr. (Worster),132.34,impoundment,56,4,St. Joseph,2018,9-Jul-18,Deep Hole,41.5478747,-86.3762334,5.4,0.7,299,6.232,NA,7.4,7.2,351,398.4,167,179,0.008,0.009,0.028,0.589,NA,NA,0.02,0.036,0.026,0.044,27.052,NA,0,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,0,198,0,173,374.7,7.3,0.0085,0.3085,NA,0,0.028,0.035,65,63,55,51,61,NA,0.821,1.182,FALSE,Eutrophic
59,285,2670,1085,Bass (N. Chain),35.61,natural lake,56,4,St. Joseph,2018,9-Jul-18,Deep Hole,41.69874,-86.37163,9.5,2.7,168.4,9.84,NA,7.4,7.1,317.6,359.4,127,140,0.008,0.008,0.021,0.548,NA,NA,0.01,0.018,0.22,NA,2.598,NA,0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0,66,0,133.5,338.5,7.25,0.008,0.2845,NA,0,0.014,0.22,46,40,82,82,56,NA,2.362,NA,FALSE,Mesotrophic
78,23,2350,1085,Bass (N.Chain),35.61,natural lake,56,3,St. Joseph,2015,14-Jul-15,deep hole,41.69724,-86.37123,9.6,2.1,14.47,15.088,52.08,8.5,7.3,298,359,107.5,134,0.013,0.013,0.018,0.018,0.7705,0.886,0.01,0.01,0.032,0.038,3.6,NA,171099,3174260,58.7,98,1863436,167389,1132327,3531,26748,27,151571,152,118,0,60,0,120.75,328.5,7.9,0.013,0.018,0.82825,0.81025,0.01,0.035,49,43,55,54,49,NA,NA,NA,FALSE,Mesotrophic
91,113,2464,759,Holem,12.14,natural lake,56,3,Marshall,2016,12-Jul-16,Deep Hole,41.29614,-86.37055,8.69,2.45,25.76,15.6,NA,8.1,6.8,436,519,188.5,249,0.0086,0.0086,NA,NA,NA,NA,0.004,0.088,0.022,0.202,4.06,NA,12465,4119916,2.2,4,89160,553,4030012,11912,NA,NA,NA,NA,587,0,157,0,218.75,477.5,7.45,0.0086,NA,NA,0,0.046,0.112,47,44,72,49,54,NA,0.69,3.532,FALSE,Mesotrophic
53,123,2474,947,Springs Valley (Tucker),57.06,impoundment,71,4,Orange,2016,18-Jul-16,Deep Hole,38.48212,-86.34054,9.14,3.7,6.674,16.5,NA,7.8,7.2,143,167,64,73,0.04,0.0086,0.124,0.113,NA,NA,0.002,0.002,0.006,0.014,2.598,NA,2904,339664,27.1,65,91945,1888,215652,964,10030,30,21732,22,245,0,60,0,68.5,155,7.5,0.0243,0.1185,NA,0,0.002,0.01,41,40,37,30,39,NA,0.254,0.208,FALSE,Mesotrophic
65,244,2610,765,Lawrence,27.92,natural lake,56,12,Marshall,2017,7-Aug-17,Deep Hole,41.29772,-86.3399,20,2.9,22.1,18,50,7.8,6.7,419.8,318.9,137,187,0.008,0.008,0.014,2.098,NA,NA,0.002,0.47,0.02,0.552,2.969,NA,13272,1055278,26.6,89,280193,11778,499094,1188,214522,228,61292,78,97,0,80,0,162,369.35,7.25,0.008,1.056,NA,0,0.236,0.286,45,41,86,47,57,NA,0.65,3.26,FALSE,Mesotrophic
60,65,2394,88,Yellowwood,53.83,impoundment,71,8,Brown,2015,29-Jul-15,deep hole,39.17766,-86.33977,8.5,2.4,12.84,9.512,58.88,6.4,6.9,145,194,48.5,69,0.013,0.013,0.018,0.244,0.249,0.784,0.01,0.01,0.029,0.0495,2.925,NA,95928,138467,81,100,112105,95903,16390,16,1311,1,7868,8,609,0,184,0,58.75,169.5,6.65,0.013,0.131,0.5165,0.3855,0.01,0.03925,47,41,57,53,48,NA,NA,NA,FALSE,Mesotrophic
120,134,2485,266,Fletcher,18.21,natural lake,56,6,Fulton,2016,25-Jul-16,Deep Hole,40.91161,-86.3369,12.04,2.3,11.71,15,NA,7.25,6.2,292,376,127.5,171,0.0086,0.0086,0.015,1.74,NA,NA,0.002,0.112,0.019,0.283,5.155,NA,15433,1268023,20.7,89,262130,13802,684747,1251,181886,187,139090,193,127,0,43,0,149.25,334,6.725,0.0086,0.8775,NA,0,0.057,0.151,48,47,77,47,57,NA,1.146,2.788,FALSE,Mesotrophic
34,282,2667,765,Lawrence,27.92,natural lake,56,4,Marshall,2018,9-Jul-18,Deep Hole,41.29746,-86.335,19,3.3,984.2,20.664,NA,7.6,7.3,421.5,454.2,150,180,0.008,0.009,0.034,1.12,NA,NA,0.014,0.319,0.11,1.096,1.856,NA,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,31,0,165,437.85,7.45,0.0085,0.577,NA,0,0.1665,0.603,43,37,97,72,59,NA,1.777,3.821,FALSE,Mesotrophic
219,142,2494,749,Eagle Creek Reservoir,611.1,impoundment,55,9,Marion,2016,3-Aug-16,Deep Hole,39.82936,-86.30439,13.1,1.25,14.74,12.8,NA,8.5,6.9,358,583,109.5,222,0.303,0.0086,0.015,NA,NA,NA,0.002,0.423,0.038,0.488,17.596,NA,34905,5465529,46.2,82,2523217,28790,1649452,4822,641949,642,650866,651,40,0,5,0,165.75,470.5,7.7,0.1558,0.015,NA,0,0.2125,0.263,57,59,85,57,67,NA,0.938,4.067,FALSE,Eutrophic
266,202,2569,1102,Riddles,31.16,natural lake,56,7,St. Joseph,2017,17-Jul-17,deep hole,41.50528,-86.26234,5.8,0.6,4.2,8,34.5,8.4,6.8,379.2,381.3,130,177,0.023,0.008,0.032,3.68,NA,NA,0.006,1.489,0.104,1.836,43.051,NA,80743,2732837,69.5,96,1900059,77447,779286,3216,26268,27,26268,53,785,0,171,0,153.5,380.25,7.6,0.0155,1.856,NA,0,0.7475,0.97,67,67,103,71,79,NA,2.081,5.616,FALSE,Hypereutrophic
276,283,2668,1102,Riddles,31.16,natural lake,56,4,St. Joseph,2018,9-Jul-18,Deep Hole,41.5047747,-86.2610031,5.6,0.75,179,4.92,NA,7.3,7.2,339.4,379.8,126,147,0.014,0.008,0.095,2.505,NA,NA,0.014,1.129,0.055,0.1,48.989,NA,0,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,0,21,0,136.5,359.6,7.25,0.011,1.3,NA,0,0.5715,0.0775,64,69,67,62,67,NA,0.791,1.485,FALSE,Hypereutrophic
190,110,2461,764,Lake of the Woods,168.36,natural lake,56,3,Marshall,2016,12-Jul-16,Deep Hole,41.42286,-86.2297,13.41,2.1,9.675,10.2,NA,8.5,6.9,471,503,180,196,0.631,0.025,0.015,0.582,NA,NA,0.004,0.344,0.014,0.301,12.135,NA,10388,1685163,21,56,353073,5761,1321347,4617,5350,5,5350,5,19,0,24,0,188,487,7.7,0.328,0.2985,NA,0,0.174,0.1575,49,55,77,42,60,NA,2.251,1.812,FALSE,Eutrophic
227,79,2416,273,Manitou,288.55,natural lake,56,11,Fulton,2015,10-Aug-15,deep hole,41.05051,-86.17236,13.7,0.4,1.28,4.264,36.49,8.9,7.9,442,605,186,250,0.32,0.013,0.018,2.656,1.425,3.613,0.01,0.4098,NA,NA,22.27,NA,21616,1991532,43.3,77,861875,16553,901503,3269,89160,892,138694,902,235,0,65,0,218,523.5,8.4,0.1665,1.337,2.519,1.182,0.2099,NA,73,61,NA,NA,NA,NA,NA,NA,FALSE,Eutrophic
308,70,2405,1414,John Hay,84.99,impoundment,71,9,Washington,2015,3-Aug-15,deep hole,38.68971,-86.14996,7.9,2.8,30.56,15.088,100,8.5,7.2,253,374,112.5,160,0.072,0.091,0.0555,0.622,0.43,1.654,0.01,0.01,0.039,0.085,NA,NA,75483,2961031,29.2,93,864848,70490,2015007,4913,80244,80,NA,NA,663,0,269,0,136.25,313.5,7.85,0.0815,0.33875,1.042,0.70325,0.01,0.062,45,NA,64,57,NA,NA,NA,NA,FALSE,NA
29,187,2554,1414,John Hay,84.99,impoundment,71,5,Washington,2017,10-Jul-17,Deep Hole,38.68822,-86.14807,5.9,4.1,53.9,16.5,84.7,8,7.7,271.8,285.8,112,154,0.069,0.05,0.014,0.014,NA,NA,NA,NA,0.025,0.024,1.872,NA,8775,1472546,40.8,73,601401,6381,864084,2387,NA,NA,6913,7,99,0,49,0,133,278.8,7.85,0.0595,0.014,NA,0,NA,0.0245,40,37,50,51,42,NA,0.21,0.782,FALSE,Mesotrophic
197,143,2495,206,Prairie Creek Reservoir,492.12,impoundment,55,9,Delaware,2016,3-Aug-16,Deep Hole,39.92573,-86.08469,8.84,1.25,16.82,12.5,NA,8.4,6.6,327,403,134,170,0.0086,0.0086,0.015,0.6525,NA,NA,0.002,0.116,0.021,0.215,13.777,NA,69127,13882211,97.9,99,13596836,68555,205068,491,35664,36,44580,45,51,0,12,0,152,365,7.5,0.0086,0.33375,NA,0,0.059,0.118,57,56,73,48,62,NA,0.71,1.367,FALSE,Eutrophic
165,212,2579,428,Starve Hollow,58.68,impoundment,55,9,Jackson,2017,17-Jul-17,deep hole,38.81074,-86.08253,4.8,1.3,NA,NA,41.7,8.9,6.6,210.8,474,78,123,0.017,0.022,0.014,0.74,NA,NA,0.006,0.009,0.036,0.115,7.957,NA,14410,1615529,35.4,73,571719,10576,927111,3718,46356,46,69533,70,738,0,72,0,100.5,342.4,7.75,0.0195,0.374,NA,0,0.0075,0.0755,56,51,67,56,58,NA,0.796,2.473,FALSE,Eutrophic
247,321,2706,428,Starve Hollow,58.68,impoundment,55,8,Jackson,2018,30-Jul-18,Deep Hole,38.80956,-86.0806,4.9,1,8.77,7.87,NA,9.4,7.3,201.7,378.8,125,152,0.008,0.181,0.047,1.491,NA,NA,0.008,0.041,0.123,0.291,28.206,NA,0,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,0,189,0,138.5,290.25,8.35,0.0945,0.769,NA,0,0.0245,0.207,60,63,81,74,68,NA,1.412,2.6,FALSE,Eutrophic
309,71,2406,428,Starve Hollow,58.68,impoundment,55,9,Jackson,2015,3-Aug-15,deep hole,38.8095,-86.08033,4.27,0.8,6.66,4.92,46.84,8.7,6.9,172,126,68,54,0.222,0.106,0.041,0.267,1.062,1.37,0.01,0.01,0.088,0.088,NA,NA,39904,9220974,12.8,77,1176908,30892,1337396,2308,5982608,5983,722193,721,1420,0,449,0,61,149,7.8,0.164,0.154,1.216,1.062,0.01,0.088,63,NA,69,69,NA,NA,NA,NA,FALSE,NA
188,64,2393,35,Grouse Ridge,8.09,impoundment,55,8,Bartholomew,2015,29-Jul-15,deep hole,39.1095,-86.04458,8.6,1.4,4.61,7.872,46.51,6.4,7,111,196,45,81,0.019,0.013,0.018,0.56,0.566,1.09,0.01,0.01,0.025,0.0475,11.93,NA,18384,1560648,30.9,93,481461,17173,713277,846,267479,267,98076,98,260,0,95,0,63,153.5,6.7,0.016,0.289,0.828,0.539,0.01,0.03625,55,55,56,51,55,NA,NA,NA,FALSE,Eutrophic
191,121,2472,1418,Spurgeon Hollow,4.86,impoundment,71,4,Washington,2016,19-Jul-16,Deep Hole,38.71252,-86.04422,5.18,1.4,14.92,8.5,NA,6.1,5.95,85,178,24,52.5,0.0086,0.0086,0.102,0.386,NA,NA,0.009,0.002,0.031,0.028,11.505,NA,15373,2845002,40.7,76,1159075,11653,1417638,2061,142656,196,124824,1463,750,0,59,0,38.25,131.5,6.025,0.0086,0.244,NA,0,0.0055,0.0295,55,55,53,54,54,NA,0.384,0.942,FALSE,Eutrophic
170,97,2448,544,Hoffman,75.68,natural lake,56,2,Kosciusko,2016,6-Jul-16,Deep Hole,41.277,-85.987,9.4,1.45,15.77,13.5,NA,6.55,6.5,561,667,170,248,1.7745,0.0085,0.018,1.221,NA,NA,0.008,0.014,0.03,0.059,9.236,NA,60639,2193644,41.9,81,918344,49324,1274982,11315,NA,NA,NA,NA,248,0,70,0,209,614,6.525,0.8915,0.6195,NA,0,0.011,0.0445,55,52,59,53,55,NA,2.586,2.357,FALSE,Eutrophic
226,66,2401,750,Geist Reservoir,728.46,impoundment,55,10,Marion,2015,5-Aug-15,deep hole,39.90733,-85.98307,7.2,1,7.16,10.4965,100,8.3,NA,438,NA,175,NA,0.1045,NA,0.026,NA,0.793,NA,0.01,NA,0.065,NA,22.745,NA,170592,14232884,66.8,91,9504411,155005,3967604,14826,160487,161,597370,598,2842,2,170,0,175,438,8.3,0.1045,0.026,0.793,0.767,0.01,0.065,60,61,64,64,62,NA,NA,NA,FALSE,Eutrophic
142,168,2524,252,Simonton,114.13,natural lake,56,12,Elkhart,2016,15-Aug-16,Deep Hole,41.75225,-85.9662,7.3,1.8,17.37,20,NA,7.3,6.8,347,397,127,132,0.018,0.008,0.054,0.183,NA,NA,0.004,0.004,0.012,0.011,6.262,NA,28433,1810184,64,91,1159075,25847,543874,2478,44580,45,62412,63,147,0,96,0,129.5,372,7.05,0.013,0.1185,NA,0,0.004,0.0115,52,49,39,40,47,NA,1.032,0.716,FALSE,Mesotrophic
322,181,2548,252,Simonton,114.13,natural lake,56,4,Elkhart,2017,28-Jun-17,deep hole,41.75228,-85.96575,7.3,1.7,25.4,21.25,100,8.3,8.1,368,369,155,152,0.265,0.252,0.121,0.113,NA,NA,0.002,0.002,0.011,0.073,NA,NA,11458,1392239,17.5,76,242979,8668,735506,1680,216712,434,197011,676,31,0,NA,NA,153.5,368.5,8.2,0.2585,0.117,NA,0,0.002,0.042,52,NA,58,39,NA,NA,1.348,0.843,FALSE,NA
225,248,2614,777,Mississinewa Reservoir,1286.95,impoundment,55,12,Miami,2017,8-Aug-17,Deep Hole,40.70419,-85.95515,21.6,1.1,18.4,9,55.6,7.6,NA,389.7,NA,141,NA,3.011,NA,0.014,NA,NA,NA,0.002,NA,0.057,NA,20.687,NA,23491,4431049,22.7,79,1006943,18570,2539248,3756,674214,955,210144,210,477,0,23,0,141,389.7,7.6,3.011,0.014,NA,0,0.002,0.057,59,60,62,62,60,NA,3.694,NA,FALSE,Eutrophic
273,96,2447,557,McClures,12.95,natural lake,56,1,Kosciusko,2016,28-Jun-16,Deep Hole,41.07985,-85.95245,8.69,0.6,3.419,4.6,NA,8.3,6.8,417,601,218,249,0.0086,0.0086,0.031,6.786,NA,NA,0.004,0.217,0.067,0.29,48.247,NA,453883,21389492,89,98,19035570,446626,1480049,2388,222899,223,650865,4646,109,0,NA,NA,233.5,509,7.55,0.0086,3.4085,NA,0,0.1105,0.1785,67,69,79,65,72,NA,1.979,8.241,FALSE,Hypereutrophic
181,326,2711,777,Mississinewa Res.,1286.95,impoundment,55,8,Miami,2018,31-Jul-18,Deep Hole,40.71319,-85.95147,18.6,1.2,53.61,13.12,NA,8.1,7.5,424.5,465,173,177,1.927,1.865,0.014,1.039,NA,NA,0.009,0.028,0.172,0.26,10.344,NA,0,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,0,15,0,175,444.75,7.8,1.896,0.5265,NA,0,0.0185,0.216,57,53,82,78,64,NA,2.17,2.9,FALSE,Eutrophic
109,122,2473,1413,Elk Creek #9,19.43,impoundment,71,4,Washington,2016,19-Jul-16,Deep Hole,39.65015,-85.946,6.4,3.1,19.53,13.8,NA,6.4,6.2,128,135,37,42,0.0086,0.0415,0.094,0.0835,NA,NA,0.002,0.002,0.019,0.035,5.052,NA,26276,4360342,6.5,65,285311,17029,4030013,9202,35664,36,8916,9,368,0,70,0,39.5,131.5,6.3,0.02505,0.08875,NA,0,0.002,0.027,44,46,52,47,47,NA,0.303,0.48,FALSE,Mesotrophic
274,151,2503,563,Palestine,93.89,impoundment,56,8,Kosciusko,2016,1-Aug-16,Deep Hole,41.17196,-85.94121,8.23,0.65,0.557,1,NA,7.5,7.3,450,589,175,261,0.047,0.008,0.104,3.736,NA,NA,0.006,0.528,0.125,0.608,48.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,519.5,7.4,0.0275,1.92,NA,0,0.267,0.3665,66,69,89,74,75,NA,1.69,4.534,FALSE,Hypereutrophic
183,57,2384,561,North Little,4.86,natural lake,56,7,Kosciusko,2015,27-Jul-15,deep hole,41.08622,-85.90172,8.5,1.4,4.32,9.84,35.3,8.1,7.4,616,718,241,264,3.353,1.437,0.018,1.261,1.497,2.351,0.01,0.049,0.071,0.098,11.14,NA,31037,2256180,80.6,97,1818856,29976,160488,785,NA,NA,276395,276,139,0,302,0,252.5,667,7.75,2.395,0.6395,1.924,1.2845,0.0295,0.0845,55,54,68,66,59,NA,NA,NA,FALSE,Eutrophic
69,41,2368,536,Goose,10.93,natural lake,56,5,Kosciusko,2015,21-Jul-15,deep hole,41.18962,-85.88158,12.2,2.9,9.67,12.136,49.18,8.2,7.5,661,519,152,189,0.034,0.054,0.018,1.062,0.7605,2.089,0.01,0.159,0.013,0.094,3.34,NA,62322,1025551,36.2,96,371498,60168,574584,1124,14860,15,64393,1015,82,0,134,0,170.5,590,7.85,0.044,0.54,1.42475,0.88475,0.0845,0.0535,45,42,62,41,50,NA,NA,NA,FALSE,Mesotrophic
272,54,2381,524,Carr,25.9,natural lake,56,7,Kosciusko,2015,28-Jul-15,deep hole,41.15805,-85.86346,11.5,0.6,1.855,3.936,17.39,8.7,7.4,388,584,177,238,0.013,0.013,0.018,4.547,2.034,5.995,0.01,0.857,0.016,NA,48.73,NA,140633,6910198,62.4,93,4315325,130905,2487552,8399,NA,NA,106992,1329,252,0,77,0,207.5,486,8.05,0.013,2.2825,4.0145,1.732,0.4335,0.016,67,69,44,44,60,NA,NA,NA,FALSE,Hypereutrophic
5,209,2576,96,Deam,78.92,impoundment,71,9,Clark,2017,17-Jul-17,deep hole,38.46833333,-85.86194444,9.5,1.9,NA,NA,31.6,7.4,6.1,135.7,148,28,28,0.014,0.009,0.038,0.129,NA,NA,0.004,0.004,0.02,0.027,0.796,NA,2763,486066,20.3,44,98505,1219,295516,1364,24079,112,67859,68,80,0,27,0,28,141.85,6.75,0.0115,0.0835,NA,0,0.004,0.0235,51,28,50,47,43,NA,0.334,0.597,FALSE,Oligotrophic
118,55,2382,525,Center,48.56,natural lake,56,7,Kosciusko,2015,28-Jul-15,deep hole,41.24513,-85.85658,13,2.624,9.26,10.66,30.77,8.2,7.4,570,695,140,195,0.013,0.013,0.018,1.843,0.6345,2.87,0.01,0.24,0.035,0.277,5.17,NA,17590,2078097,42,91,873764,15951,820269,881,320974,321,62412,437,553,0,125,0,167.5,632.5,7.8,0.013,0.9305,1.75225,0.82175,0.125,0.156,46,47,77,55,57,NA,NA,NA,FALSE,Mesotrophic
267,311,2697,554,Little Pike,10.12,natural lake,56,6,Kosciusko,2018,24-Jul-18,Deep Hole,41.25735,-85.84842,3.1,0.8,636.2,6.89,NA,8.4,NA,596.3,NA,169,NA,0.02,NA,0.014,NA,NA,NA,0.017,NA,0.017,0.389,43.051,NA,1,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,1,48,0,169,596.3,8.4,0.02,0.014,NA,0,0.017,0.203,63,67,81,45,70,NA,0.424,6.169,FALSE,Hypereutrophic
270,310,2696,566,Pike,82.15,natural lake,56,6,Kosciusko,2018,24-Jul-18,Deep Hole,41.24812,-85.84367,9.9,0.9,122.1,6.89,NA,8.3,7.5,584.7,646.8,173,268,0.039,0.009,0.028,0.025,NA,NA,0.011,0.306,0.069,NA,45.176,NA,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,0,21,0,220.5,615.75,7.9,0.024,0.0265,NA,0,0.1585,0.069,62,68,65,65,65,NA,0.946,NA,FALSE,Hypereutrophic
75,296,2682,240,Goshen Dam Pond,57.47,impoundment,56,5,Elkhart,2018,17-Jul-18,Deep Hole,41.5610452,-85.8354222,2.6,0.8,63.7,3.36,NA,7.8,NA,613.7,NA,221,NA,1.886,NA,0.126,NA,NA,NA,0.071,NA,0.026,0.046,3.183,NA,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,0,NA,NA,221,613.7,7.8,1.886,0.126,NA,0,0.071,0.036,63,42,56,51,54,NA,0.841,0.908,FALSE,Mesotrophic
126,308,2694,518,Big Chapman,167.55,natural lake,56,6,Kosciusko,2018,24-Jul-18,Deep Hole,41.28163,-85.7927,12,2,147.5,20.34,NA,8.4,7.5,396.3,459.8,132,178,0.012,0.009,0.035,0.604,NA,NA,0.017,0.011,0.029,0.088,5.443,NA,0,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,0,27,0,155,428.05,7.95,0.0105,0.3195,NA,0,0.014,0.0585,50,47,63,53,53,NA,0.743,3.805,FALSE,Mesotrophic
246,309,2695,553,Little Chapman,48.56,natural lake,56,6,Kosciusko,2018,24-Jul-18,Deep Hole,41.27341,-85.78991,9.2,1.2,134.4,11.15,NA,8.5,7.4,383.1,519.3,130,204,0.012,0.01,0.066,2.651,NA,NA,0.004,0.027,0.06,0.332,25.979,NA,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,26,0,167,451.2,7.95,0.011,1.3585,NA,0,0.0155,0.196,57,63,80,63,67,NA,0.885,3.371,FALSE,Eutrophic
79,58,2385,562,Oswego,16.59,natural lake,56,7,Kosciusko,2015,28-Jul-15,deep hole,41.32526,-85.78575,11,1.9,18.54,14.76,63.6,8.6,7.1,449,552,174,215,0.092,0.013,0.018,2.078,0.7295,3.129,0.01,0.211,0.041,0.2805,3.59,NA,16271,3219129,34.3,71,1105579,11519,2032839,4591,35664,36,44580,125,376,0,91,0,194.5,500.5,7.85,0.0525,1.048,1.92925,0.88125,0.1105,0.16075,51,43,77,58,57,NA,NA,NA,FALSE,Mesotrophic
